Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Genome Composition,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL,
683,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,Markadamsvirinae,Tequintavirus,,Salmonella virus SP01,dsDNA,"New,",35,2019.099B.zip,ICTVonline=202008086,
684,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,Markadamsvirinae,Tequintavirus,,Salmonella virus SP3,dsDNA,"New,",35,2019.099B.zip,ICTVonline=202008085,
685,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,Markadamsvirinae,Tequintavirus,,Salmonella virus SPC35,dsDNA,"Moved,",35,2019.099B.zip,ICTVonline=202001331,
686,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,Markadamsvirinae,Tequintavirus,,Salmonella virus Th1,dsDNA,"New,",36,2020.043B.R.Demerecviridae_new_species.zip,ICTVonline=202009953,
687,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,Markadamsvirinae,Tequintavirus,,Salmonella virus VSe12,dsDNA,"New,",36,2020.043B.R.Demerecviridae_new_species.zip,ICTVonline=202009957,
688,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,Markadamsvirinae,Tequintavirus,,Shigella virus SHSML45,dsDNA,"New,",35,2019.099B.zip,ICTVonline=202008094,
689,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,Markadamsvirinae,Tequintavirus,,Shigella virus SSP1,dsDNA,"New,",35,2019.099B.zip,ICTVonline=202008087,
690,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,Mccorquodalevirinae,Hongcheonvirus,,Pectobacterium virus DUPPV,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008124,
691,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,Mccorquodalevirinae,Myunavirus,,Pectobacterium virus My1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202007058,
692,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,,Novosibvirus,,Proteus virus PM135,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202007060,
693,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,,Novosibvirus,,Proteus virus Stubb,dsDNA,"New,",35,2019.099B.zip,ICTVonline=202008118,
694,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,,Pogseptimavirus,,Vibrio virus PG07,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008120,
695,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,,Pogseptimavirus,,Vibrio virus VspSw1,dsDNA,"New,",35,2019.099B.zip,ICTVonline=202008121,
696,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,,Shenzhenvirus,,Aeromonas virus AhSzq1,dsDNA,"New,",35,2019.099B.zip,ICTVonline=202008117,
697,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,,Shenzhenvirus,,Aeromonas virus AhSzw1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008116,
698,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,,Sugarlandvirus,,Klebsiella virus IME260,dsDNA,"Moved,",35,2019.099B.zip,ICTVonline=202007065,
699,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Demerecviridae,,Sugarlandvirus,,Klebsiella virus Sugarland,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202007064,
700,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Braunvirinae,Christensenvirus,,Escherichia virus IME542,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008146,
701,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Braunvirinae,Guelphvirus,,Escherichia virus ACGM12,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202000822,
702,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Braunvirinae,Guelphvirus,,Escherichia virus EC3a,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008150,
703,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Braunvirinae,Loudonvirus,,Escherichia virus DTL,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008148,
704,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Braunvirinae,Rtpvirus,,Escherichia virus IME253,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008144,
705,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Braunvirinae,Rtpvirus,,Escherichia virus Rtp,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202000823,
706,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Braunvirinae,Veterinaerplatzvirus,,Escherichia virus 12210I,dsDNA,"New,",36,2020.173B.R.Veterinaerplatzvirus.zip,ICTVonline=202012086,
707,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Rogunavirinae,Eastlansingvirus,,Shigella virus Sf12,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008154,
708,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Rogunavirinae,Lindendrivevirus,,Escherichia virus phiEB49,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008158,
709,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Rogunavirinae,Rogunavirus,,Escherichia virus AHP42,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000812,
710,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Rogunavirinae,Rogunavirus,,Escherichia virus AHS24,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000813,
711,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Rogunavirinae,Rogunavirus,,Escherichia virus AKS96,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000814,
712,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Rogunavirinae,Rogunavirus,,Escherichia virus C119,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000815,
713,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Rogunavirinae,Rogunavirus,,Escherichia virus E41c,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000816,
714,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Rogunavirinae,Rogunavirus,,Escherichia virus Jk06,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000818,
715,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Rogunavirinae,Rogunavirus,,Escherichia virus KP26,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000819,
716,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Rogunavirinae,Rogunavirus,,Escherichia virus phiJLA23,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008152,
717,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Rogunavirinae,Rogunavirus,,Escherichia virus Rogue1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202000820,
718,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Rogunavirinae,Wilsonroadvirus,,Shigella virus Sd1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008156,
719,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Changchunvirus,,Escherichia virus PHB17,dsDNA,"New,",36,2020.048B.R.Drexlerviridae_new_genera.zip,ICTVonline=202009975,
720,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Changchunvirus,,Escherichia virus W011D,dsDNA,"New,",36,2020.048B.R.Drexlerviridae_new_genera.zip,ICTVonline=202009974,
721,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Escherichia virus aalborv,dsDNA,"New,",36,2020.069B.R.Hanrivervirus.zip,ICTVonline=202010090,
722,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Escherichia virus aaroes,dsDNA,"New,",36,2020.069B.R.Hanrivervirus.zip,ICTVonline=202010087,
723,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Escherichia virus damhaus,dsDNA,"New,",36,2020.069B.R.Hanrivervirus.zip,ICTVonline=202010088,
724,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Escherichia virus egaa,dsDNA,"New,",36,2020.069B.R.Hanrivervirus.zip,ICTVonline=202010084,
725,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Escherichia virus G29-2,dsDNA,"New,",36,2020.069B.R.Hanrivervirus.zip,ICTVonline=202010081,
726,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Escherichia virus grams,dsDNA,"New,",36,2020.069B.R.Hanrivervirus.zip,ICTVonline=202010086,
727,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Escherichia virus haarsle,dsDNA,"New,",36,2020.069B.R.Hanrivervirus.zip,ICTVonline=202010089,
728,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Escherichia virus Henu8,dsDNA,"New,",36,2020.069B.R.Hanrivervirus.zip,ICTVonline=202010085,
729,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Escherichia virus herni,dsDNA,"New,",36,2020.069B.R.Hanrivervirus.zip,ICTVonline=202010082,
730,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Escherichia virus PGN590,dsDNA,"New,",36,2020.069B.R.Hanrivervirus.zip,ICTVonline=202010091,
731,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Escherichia virus vojen,dsDNA,"New,",36,2020.069B.R.Hanrivervirus.zip,ICTVonline=202010083,
732,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Salmonella virus slyngel,dsDNA,"New,",36,2020.069B.R.Hanrivervirus.zip,ICTVonline=202010080,
733,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Shigella virus 2019SD1,dsDNA,"New,",36,2020.069B.R.Hanrivervirus.zip,ICTVonline=202010079,
734,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Hanrivervirus,,Shigella virus pSf1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202007069,
735,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Henuseptimavirus,,Escherichia virus Henu7,dsDNA,"New,",36,2020.048B.R.Drexlerviridae_new_genera.zip,ICTVonline=202009972,
736,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Tlsvirus,,Citrobacter virus DK2017,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008140,
737,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Tlsvirus,,Citrobacter virus Sazh,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008142,
738,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Tlsvirus,,Citrobacter virus Stevie,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000832,
739,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Tlsvirus,,Escherichia virus LL5,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008139,
740,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Tlsvirus,,Escherichia virus TLS,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202000833,
741,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Tlsvirus,,Salmonella virus 36,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008136,
742,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Tlsvirus,,Salmonella virus PHB07,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008137,
743,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Tlsvirus,,Salmonella virus phSE2,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008141,
744,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Tlsvirus,,Salmonella virus SP126,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000834,
745,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Tlsvirus,,Salmonella virus YSP2,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008138,
746,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Warwickvirus,,Escherichia virus 95,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008132,
747,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Warwickvirus,,Escherichia virus atuna,dsDNA,"New,",36,2020.177B.R.Warwickvirus.zip,ICTVonline=202012096,
748,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Warwickvirus,,Escherichia virus mar001J1,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008134,
749,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Warwickvirus,,Escherichia virus SECphi27,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008133,
750,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Warwickvirus,,Escherichia virus SLUR29,dsDNA,"New,",36,2020.177B.R.Warwickvirus.zip,ICTVonline=202012098,
751,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Warwickvirus,,Escherichia virus swan01,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008131,
752,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Warwickvirus,,Escherichia virus tiwna,dsDNA,"New,",36,2020.177B.R.Warwickvirus.zip,ICTVonline=202012097,
753,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Warwickvirus,,Escherichia virus tonijn,dsDNA,"New,",36,2020.177B.R.Warwickvirus.zip,ICTVonline=202012095,
754,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Warwickvirus,,Escherichia virus tonn,dsDNA,"New,",36,2020.177B.R.Warwickvirus.zip,ICTVonline=202012092,
755,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Warwickvirus,,Escherichia virus tonnikala,dsDNA,"New,",36,2020.177B.R.Warwickvirus.zip,ICTVonline=202012094,
756,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Warwickvirus,,Escherichia virus tunus,dsDNA,"New,",36,2020.177B.R.Warwickvirus.zip,ICTVonline=202012093,
757,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tempevirinae,Warwickvirus,,Shigella virus JK16,dsDNA,"New,",36,2020.177B.R.Warwickvirus.zip,ICTVonline=202012091,
758,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Badaguanvirus,,Escherichia virus IME347,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008167,
759,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Sertoctavirus,,Escherichia virus SRT8,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202007071,
760,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Escherichia virus ADB2,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000825,
761,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Escherichia virus BIFF,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008160,
762,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Escherichia virus DELF2,dsDNA,"New,",36,2020.169B.R.Tunavirus.zip,ICTVonline=202012057,
763,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Escherichia virus IME18,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008164,
764,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Escherichia virus JMPW1,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000826,
765,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Escherichia virus JMPW2,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000827,
766,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Escherichia virus SH2,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008165,
767,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Escherichia virus T1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202000828,
768,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Shigella virus 008,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008162,
769,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Shigella virus ISF001,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008161,
770,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Shigella virus PSf2,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000829,
771,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Shigella virus Sfin1,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008163,
772,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Shigella virus Sfin3,dsDNA,"New,",36,2020.169B.R.Tunavirus.zip,ICTVonline=202012056,
773,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Shigella virus SH6,dsDNA,"New,",35,2019.100B.zip,ICTVonline=202008159,
774,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Shigella virus Shfl1,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000830,
775,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,Tunavirinae,Tunavirus,,Shigella virus ISF002,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202007089,
776,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Eclunavirus,,Enterobacter virus EcL1,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202007067,
777,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Gyeonggidovirus,,Cronobacter virus PhiCS01,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008169,
778,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Hicfunavirus,,Citrobacter virus HCF1,dsDNA,"New,",36,2020.048B.R.Drexlerviridae_new_genera.zip,ICTVonline=202009977,
779,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Jhansiroadvirus,,Vibrio virus GwaliVC1,dsDNA,"New,",36,2020.048B.R.Drexlerviridae_new_genera.zip,ICTVonline=202009979,
780,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Kyungwonvirus,,Cronobacter virus CS01,dsDNA,"New,",36,2020.048B.R.Drexlerviridae_new_genera.zip,ICTVonline=202009981,
781,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Kyungwonvirus,,Cronobacter virus Esp2949-1,dsDNA,"Moved,",36,2020.048B.R.Drexlerviridae_new_genera.zip,ICTVonline=202000836,
782,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Nouzillyvirus,,Escherichia virus ESCO41,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008172,
783,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Sauletekiovirus,,Pantoea virus AAS23,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008174,
784,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Vilniusvirus,,Escherichia virus NBD2,dsDNA,"Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008717,
785,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Webervirus,,Enterobacter virus F20,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000805,
786,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Webervirus,,Klebsiella virus 13,dsDNA,"New,",36,2020.179B.R.Webervirus.zip,ICTVonline=202012113,
787,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Webervirus,,Klebsiella virus 1513,dsDNA,"Moved,",35,2019.100B.zip,ICTVonline=202000806,
788,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Webervirus,,Klebsiella virus Alina,dsDNA,"New,",36,2020.179B.R.Webervirus.zip,ICTVonline=202012106,
789,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Webervirus,,Klebsiella virus Call,dsDNA,"New,",36,2020.179B.R.Webervirus.zip,ICTVonline=202012105,
790,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Webervirus,,Klebsiella virus Domnhall,dsDNA,"New,",36,2020.179B.R.Webervirus.zip,ICTVonline=202012104,
791,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Drexlerviridae,,Webervirus,,Klebsiella virus FZ10,dsDNA,"New,",36,2020.179B.R.Webervirus.zip,ICTVonline=202012109,
