"ICTVnames","NCBInames","ExemplarOrAdditional","GenBankIDs","RefSeqIDs"
"Flavobacterium virus 23T","Flavobacterium phage 23T","E","KU599888","NC_041859"
"Flavobacterium virus 2A","Flavobacterium phage 2A","E","KU599887","NC_031926"
"Flavobacterium virus 6H","Flavobacterium phage 6H","E","KC959568","NC_021867"
"Lactococcus virus PLgW1","Lactococcus phage PLgW-1","E","KY888143","zero"
"Streptomyces virus Lilbooboo","Streptomyces phage Lilbooboo","E","MK450431","NC_048155"
"Streptomyces virus Vash","Streptomyces phage Vash","E","MK450421","NC_048154"
"Lactococcus virus 50902","Lactococcus phage 50902","E","KX160206","NC_049810"
"Lactococcus virus 62503","Lactococcus phage 62503","E","KX160211","NC_049811"
"Lactococcus virus BM13","Lactococcus phage BM13","E","JX567312","NC_021861"
"Lactococcus virus P1045","Lactococcus phage P1045","E","MN552144","NC_049812"
"Lactococcus virus Q33","Lactococcus phage Q33","E","JX564242","NC_049809"
"Gordonia virus Vendetta","Gordonia phage Vendetta","E","KU998237","NC_030911"
"Paracoccus virus Shpa","Paracoccus phage Shpa","E","KR072689","NC_041868"
"Pantoea virus Vid5","Pantoea phage vB_PagS_Vid5","E","MG948468","NC_042120"
"Acinetobacter virus B1251","Acinetobacter phage YMC/09/02/B1251","E","JX403940","NC_019541"
"Acinetobacter virus R3177","Acinetobacter phage YMC11/11/R3177","E","KP861230","NC_041866"
"Gordonia virus Brandonk123","Gordonia phage Brandonk123","E","MG812487","NC_042108"
"Gordonia virus Lennon","Gordonia phage Lennon","E","MF919514","NC_042045"
"Gordonia virus Vivi2","Gordonia phage Vivi2","E","KU963250","NC_031239"
"Bordetella virus CN1","Bordetella phage CN1","E","KY000218","NC_047879"
"Bordetella virus CN2","Bordetella phage CN2","E","KY000219","NC_047877"
"Bordetella virus FP1","Bordetella phage FP1","E","KY000220","NC_047878"
"Bordetella virus MW2","Bordetella phage MW2","E","KY000221","NC_047876"
"Bacillus virus BMBtp3","Bacillus phage vB_BtS_BMBtp3","E","KJ024807","NC_028748"
"Bacillus virus Waukesha92","Bacillus phage Waukesha92","E","KJ920400","NC_025424"
"Bacillus virus Wbeta","Bacillus phage Wbeta","E","DQ289555","NC_007734"
"Rhodococcus virus Weasel","Rhodococcus phage Weasels2","E","KX774321","NC_041887"
"Rhodococcus virus Whack","Rhodococcus phage Whack","E","MK967393","NC_048784"
"Lactococcus virus 1358","Lactococcus phage 1358","E","GQ403788","NC_027120"
"Mycobacterium virus Wildcat","Mycobacterium phage Wildcat","E","DQ398052","NC_008206"
"Streptomyces virus BillNye","Streptomyces phage BillNye","E","MG757153","NC_042105"
"Gordonia virus Twister6","Gordonia phage Twister6","E","KX557286","NC_031052"
"Gordonia virus Wizard","Gordonia phage Wizard","E","KU998234","NC_030913"
"Gordonia virus Woes","Gordonia phage Woes","E","KU998240","NC_030905"
"Streptomyces virus TP1604","Streptomyces phage TP1604","E","KP876466","NC_028818"
"Streptomyces virus YDN12","Streptomyces phage YDN12","E","KP876465","NC_028974"
"Roseobacter virus RDJL1","Roseobacter phage RDJL Phi 1","E","HM151342","NC_015466"
"Roseobacter virus RDJL2","Roseobacter phage RDJL Phi 2","E","KT266805","NC_041958"
"Xanthomonas virus OP1","Xanthomonas phage OP1","E","AP008979","NC_007709"
"Xanthomonas virus Xop411","Xanthomonas phage Xop411","E","DQ777876","NC_009543"
"Xanthomonas virus Xp10","Xanthomonas phage Xp10","E","AY299121","NC_004902"
"Arthrobacter virus Yang","Arthrobacter virus Yang","E","MH834629","NC_048097"
"Klebsiella virus N137","Klebsiella phage KPN N137","E","MF415410","NC_048670"
"Klebsiella virus Seifer","Klebsiella phage Seifer","E","MH817999","NC_048732"
"Klebsiella virus Soft","Klebsiella phage Soft","E","MN106244","NC_048805"
"Alphaproteobacteria virus phiJl001","Alphaproteobacteria phage PhiJL001","E","AY576273","NC_006938"
"Pseudomonas virus LKO4","Pseudomonas phage LKO4","E","KC758116","NC_041934"
"Pseudomonas virus M6","Pseudomonas phage M6","E","DQ163916","NC_007809"
"Pseudomonas virus MP1412","Pseudomonas phage MP1412","E","JX131330","NC_018282"
"Pseudomonas virus PAE1","Pseudomonas phage PAE1","E","KT734862","NC_028980"
"Pseudomonas virus Yua","Pseudomonas phage YuA","E","AM749441","NC_010116"
"Gordonia virus Yvonnetastic","Gordonia phage Yvonnetastic","E","KU963248","NC_031230"
"Microbacterium virus Zeta1847","Microbacterium phage Zeta1847","E","MH271320","NC_047992"
"Celeribacter virus P12053L","Celeribacter phage P12053L","E","JQ809650","NC_018280"
"Lentibacter virus ICBM1","Lentibacter phage vB_LenP_ICBM1","E","MF431617","NC_048672"
"Roseobacter virus SIO1","Roseobacter phage SIO1","E","AF189021","NC_002519"
"Lentibacter virus ICBM2","Lentibacter phage vB_LenP_ICBM2","E","MF431616","NC_048671"
"Citrobacter virus CVT22","Citrobacter phage CVT22","E","KP774835","NC_027988"
"Vibrio virus ICP2","Vibrio phage ICP2","E","HQ641345","NC_015158"
"Pseudoalteromonas virus HP1","Pseudoalteromonas phage HP1","E","KF302037","NC_048630"
"Pseudoalteromonas virus RIO1","Pseudoalteromonas phage RIO-1","E","KC751414","NC_021300"
"Pseudomonas virus PA11","Pseudomonas phage PA11","E","DQ163915","NC_007808"
"Salinivibrio virus CW02","Salinivibrio phage CW02","E","JQ446452","NC_019540"
"Vibrio virus VpV262","Vibrio phage VpV262","E","AY095314","NC_003907"
"Paenibacillus virus Lily","Bacteriophage Lily","E","KP296792","NC_028841"
"Vibrio virus CTXphi","Vibrio phage CTXphi","E","HQ224500","NC_015209"
"Vibrio virus KSF1","Vibrio phage KSF1","E","AY714348","NC_006294"
"Xanthomonas virus Cf1c","Xanthomonas phage Cf1c","E","M57538","NC_001396"
"Vibrio virus fs1","Vibrio phage fs1","E","D89074","NC_004306"
"Vibrio virus VGJ","Vibrio phage VGJ","E","AY242528","NC_004736"
"Ralstonia virus RS551","Ralstonia phage Rs551","E","KX179905","NC_047765"
"Ralstonia virus RS603","Ralstonia phage RS603","E","AB937974","NC_025454"
"Ralstonia virus RSM1","Ralstonia phage RSM1","E","AB259123","NC_008574"
"Ralstonia virus RSM3","Ralstonia phage RSM3","E","AB434711","NC_011399"
"Escherichia virus If1","Escherichia phage If1","E","U02303","NC_001954"
"Escherichia virus M13","Escherichia phage M13; Enterobacteria phage M13; bacteriophage M13","E","V00604","NC_003287"
"Escherichia virus I22","Escherichia phage I22","E","X14336","NC_001332"
"Salmonella virus IKe","Salmonella phage IKe","E","X02139","NC_002014"
"Ralstonia virus PE226","Ralstonia phage PE226","E","HM064452","NC_015297"
"Pseudomonas virus Pf1","Pseudomonas phage Pf1","E","X52107","NC_001331"
"Stenotrophomonas virus PSH1","Stenotrophomonas phage PSH1","E","EF489910","NC_010429"
"Ralstonia virus RSS1","Ralstonia phage RSS1","E","AB259124","NC_008575"
"Vibrio virus fs2","Vibrio phage fs2","E","AB002632","NC_001956"
"Vibrio virus VFJ","Vibrio phage VFJ","E","KC357596","NC_021562"
"Stenotrophomonas virus SMA6","Stenotrophomonas phage SMA6","E","HG315669","NC_043029"
"Stenotrophomonas virus SMA9","Stenotrophomonas phage SMA9","E","AM040673","NC_007189"
"Stenotrophomonas virus SMA7","Stenotrophomonas phage SMA7","E","HG007973","NC_021569"
"Pseudomonas virus Pf3","Pseudomonas phage Pf3 ","E","M11912","NC_001418"
"Vibrio virus VfO3K6","Vibrio phage VfO3K6","E","AB043678","NC_002362"
"Vibrio virus VCY","Vibrio phage VCY","E","JN848801","NC_016162"
"Vibrio virus Vf33","Vibrio phage Vf33","E","AB012573","NC_005948"
"Xanthomonas virus Xf109","Xanthomonas phage Xf109","E","KX181651","NC_043028"
"Propionibacterium virus B5","Propionibacterium phage B5","E","AF428260","NC_003460"
"Thermus virus OH3","Thermus phage OH3","E","LC035386","NC_045425"
"Acholeplasma virus L51","Acholeplasma phage MV-L1","E","X58839","NC_001341"
"Spiroplasma virus SVTS2","Spiroplasma phage SVTS2","E","AF133242","NC_001270"
"Spiroplasma virus C74","Spiroplasma phage 1-C74","E","U28974","NC_003793"
"Spiroplasma virus R8A2B","Spiroplasma phage 1-R8A2B","E","X51344","NC_001365"
"Spiroplasma virus SkV1CR23x","Spiroplasma phage SkV1CR23x","E","EF506570","NC_009987"
"Escherichia virus alpha3","Escherichia phage alpha3","E","X60322","NC_001330"
"Escherichia virus ID21","Escherichia phage ID21","E","DQ079870","NC_007818"
"Escherichia virus ID32","Escherichia phage ID32","E","DQ079871","NC_007819"
"Escherichia virus ID62","Escherichia phage ID62","E","DQ079876","NC_007824"
"Escherichia virus NC28","Escherichia phage NC28","E","DQ079875","NC_007823"
"Escherichia virus NC29","Escherichia phage NC29","E","DQ079879","NC_007827"
"Escherichia virus NC35","Escherichia phage NC35","E","DQ079872","NC_007820"
"Escherichia virus phiK","Escherichia phage phiK","E","X60323","NC_001730"
"Escherichia virus St1","Escherichia phage St-1","E","GQ149088","NC_012868"
"Escherichia virus WA45","Escherichia phage WA45","E","DQ079874","NC_007822"
"Escherichia virus G4","Escherichia phage G4","E","V00657","NC_001420"
"Escherichia virus ID52","Escherichia phage ID52","E","DQ079877","NC_007825"
"Escherichia virus Talmos","Escherichia phage ID2 Moscow/ID/2001","E","DQ079869","NC_007817"
"Escherichia virus phiX174","Escherichia phage phiX174","E","J02482","NC_001422"
"Bdellovibrio virus MAC1","Bdellovibrio phage MAC1","E","","zero"
"Bdellovibrio virus MH2K","Bdellovibrio phage phiMH2K","E","AF306496","NC_002643"
"Chlamydia virus Chp1","Chlamydia phage Chp1","E","D00624","NC_001741"
"Chlamydia virus Chp2","Chlamydia phage 2","E","AJ270057","NC_002194"
"Chlamydia virus CPAR39","Chlamydia phage phiCPAR39","E","AE002163","NC_002180"
"Chlamydia virus CPG1","Chlamydia phage CPG1","E","U41758","NC_001998"
"Enterogokushovirus EC6098","Escherichia phage EC6098","E","MT185428","NC_048874"
"Spiroplasma virus SpV4","Spiroplasma phage 4","E","M17988","NC_003438"
"Bombyx mori bidensovirus","Bombyx mori bidensovirus","E","A: EU623082; B: EU623083","A: NC_038377; B: NC_038376"
"Acerodon celebensis polyomavirus 1","bat polyomavirus 5b2","E","AB972940","NC_038554"
"Apodemus flavicollis polyomavirus 1","Apodemus flavicollis polyomavirus 1","E","MG654476","zero"
"Artibeus planirostris polyomavirus 2","bat polyomavirus 3a-A1055","E","JQ958886","NC_038555"
"Artibeus planirostris polyomavirus 3","bat polyomavirus 4a","E","JQ958890","NC_038556"
"Ateles paniscus polyomavirus 1","Ateles paniscus polyomavirus 1","E","JX159987","NC_019853"
"Callosciurus erythraeus polyomavirus 1","Callosciurus erythraeus polyomavirus 1","E","MK671087","zero"
"Cardioderma cor polyomavirus 1","Cardioderma polyomavirus","E","JX520659","NC_020067"
"Carollia perspicillata polyomavirus 1","bat polyomavirus 4b","E","JQ958889","NC_028120"
"Chlorocebus pygerythrus polyomavirus 1","vervet monkey polyomavirus 1","E","AB767298","NC_019844"
"Chlorocebus pygerythrus polyomavirus 3","vervet monkey polyomavirus 3","E","AB767297","NC_025898"
"Dobsonia moluccensis polyomavirus 1","bat polyomavirus 5a","E","AB972945","NC_026768"
"Eidolon helvum polyomavirus 1","Eidolon polyomavirus 1","E","JX520660","NC_020068"
"Gorilla gorilla polyomavirus 1","Gorilla gorilla gorilla polyomavirus 1","E","HQ385752","NC_025380"
"Human polyomavirus 5","Merkel cell polyomavirus","E","HM011556","NC_010277"
"Human polyomavirus 8","Trichodysplasia spinulosa-associated polyomavirus","E","GU989205","NC_014361"
"Human polyomavirus 9","human polyomavirus 9","E","HQ696595","NC_015150"
"Human polyomavirus 13","New Jersey polyomavirus","E","KF954417","NC_024118"
"Human polyomavirus 14","LI polyomavirus","E","KY404016","NC_034253"
"Macaca fascicularis polyomavirus 1","Macaca fascicularis polyomavirus 1","E","JX159986","NC_019851"
"Mastomys natalensis polyomavirus 2","Mastomys natalensis polyomavirus 2","E","MG701350","zero"
"Mastomys natalensis polyomavirus 3","Mastomys natalensis polyomavirus 3","E","MN417229","zero"
"Mesocricetus auratus polyomavirus 1","hamster polyomavirus","E","JX036360","NC_001663"
"Miniopterus schreibersii polyomavirus 1","Miniopterus schreibersii polyomavirus 1","E","LC185213","NC_034220"
"Miniopterus schreibersii polyomavirus 2","Miniopterus schreibersii polyomavirus 2","E","LC185216","NC_034221"
"Molossus molossus polyomavirus 1","bat polyomavirus 3b","E","JQ958893","NC_028123"
"Mus musculus polyomavirus 1","mouse polyomavirus","E","AF442959","NC_001515"
"Otomops martiensseni polyomavirus 1","Otomops polyomavirus 1","E","JX520664","NC_020071"
"Otomops martiensseni polyomavirus 2","Otomops polyomavirus 2","E","JX520658","NC_020066"
"Pan troglodytes polyomavirus 1","chimpanzee polyomavirus","E","FR692334","NC_014743"
"Pan troglodytes polyomavirus 2","Pan troglodytes verus polyomavirus 1a","E","HQ385746","NC_025368"
"Pan troglodytes polyomavirus 3","Pan troglodytes verus polyomavirus 2a","E","HQ385748","NC_025370"
"Pan troglodytes polyomavirus 4","Pan troglodytes verus polyomavirus 3","E","JX159980","NC_019855"
"Pan troglodytes polyomavirus 5","Pan troglodytes verus polyomavirus 4","E","JX159981","NC_019856"
"Pan troglodytes polyomavirus 6","Pan troglodytes verus polyomavirus 5","E","JX159982","NC_019857"
"Pan troglodytes polyomavirus 7","Pan troglodytes schweinfurthii polyomavirus 2","E","JX159983","NC_019858"
"Papio cynocephalus polyomavirus 1","yellow baboon polyomavirus 1","E","AB767294","NC_025894"
"Philantomba monticola polyomavirus 1","Philantomba monticola polyomavirus 1","E","MG654482","NC_040705"
"Piliocolobus badius polyomavirus 1","Piliocolobus badius polyomavirus 2","E","KX509984","NC_039051"
"Piliocolobus rufomitratus polyomavirus 1","Piliocolobus rufomitratus polyomavirus 1","E","JX159984","NC_019850"
"Pongo abelii polyomavirus 1","Sumatran orang-utan polyomavirus","E","FN356901","NC_028127"
"Pongo pygmaeus polyomavirus 1","Bornean orang-utan polyomavirus","E","FN356900","NC_013439"
"Procyon lotor polyomavirus 1","raccoon polyomavirus","E","JQ178241","NC_023845"
"Pteropus vampyrus polyomavirus 1","bat polyomavirus 5b1","E","AB972944","NC_026767"
"Rattus norvegicus polyomavirus 1","Rattus norvegicus polyomavirus 1","E","KR075943","NC_027531"
"Sorex araneus polyomavirus 1","Sorex araneus polyomavirus 1","E","MF374997","zero"
"Sorex coronatus polyomavirus 1","Sorex coronatus polyomavirus 1","E","MF374999","zero"
"Sorex minutus polyomavirus 1","Sorex minutus polyomavirus 1","E","MF401583","zero"
"Sturnira lilium polyomavirus 1","bat polyomavirus 3a-B0454","E","JQ958888","NC_038557"
"Sus scrofa polyomavirus 1","Sus scrofa polyomavirus 1","E","KR065722","NC_040"
"Tupaia belangeri polyomavirus 1","Tupaia belangeri polyomavirus","E","MK443498","zero"
"Tupaia glis polyomavirus 1","Tupaia glis polyomavirus 1","E","MG721015","NC_040566"
"Acerodon celebensis polyomavirus 2","bat polyomavirus 6a","E","AB972941","NC_026762"
"Artibeus planirostris polyomavirus 1","bat polyomavirus 2c","E","JQ958887","NC_038558"
"Callosciurus prevostii polyomavirus 1","Callosciurus prevostii polyomavirus 1","E","MK883808","zero"
"Canis familiaris polyomavirus 1","Canis familiaris polyomavirus 1","E","KY341899","NC_034456"
"Cebus albifrons polyomavirus 1","Cebus albifrons polyomavirus 1","E","JX159988","NC_019854"
"Cercopithecus erythrotis polyomavirus 1","Cercopithecus erythrotis polyomavirus 1","E","JX159985","NC_025892"
"Chlorocebus pygerythrus polyomavirus 2","vervet monkey polyomavirus 2","E","AB767299","NC_025896"
"Desmodus rotundus polyomavirus 1","bat polyomavirus 2a","E","JQ958892","NC_028122"
"Dobsonia moluccensis polyomavirus 2","bat polyomavirus 6b","E","AB972947","NC_026770"
"Dobsonia moluccensis polyomavirus 3","bat polyomavirus 6c","E","AB972946","NC_026769"
"Enhydra lutris polyomavirus 1","sea otter polyomavirus","E","KM282376","NC_025259"
"Equus caballus polyomavirus 1","equine polyomavirus","E","JQ412134","NC_017982"
"Glis glis polyomavirus 1","Glis glis polyomavirus 1","E","MG701352","NC_040821"
"Human polyomavirus 1","BK polyomavirus","E","V01108","NC_001538"
"Human polyomavirus 2","JC polyomavirus","E","J02226","NC_001699"
"Human polyomavirus 3","KI polyomavirus","E","EF127906","NC_009238"
"Human polyomavirus 4","WU polyomavirus","E","EF444549","NC_009539"
"Leptonychotes weddellii polyomavirus 1","Weddell seal polyomavirus","E","KX533457","NC_032120"
"Lepus granatensis polyomavirus 1","Lepus polyomavirus 1","E","MN994868","zero"
"Loxodonta africana polyomavirus 1","African elephant polyomavirus 1","E","KF147833","NC_022519"
"Macaca mulatta polyomavirus 1","simian virus 40","E","J02400","NC_001669"
"Mastomys natalensis polyomavirus 1","Mastomys polyomavirus","E","AB588640","NC_025895"
"Meles meles polyomavirus 1","Meles meles polyomavirus 1","E","KP644238","NC_026473"
"Microtus arvalis polyomavirus 1","Microtus arvalis polyomavirus 1","E","KR612373","NC_028119"
"Miniopterus africanus polyomavirus 1","Miniopterus polyomavirus","E","JX520661","NC_020069"
"Mus musculus polyomavirus 2","mouse pneumotropic virus","E","KT987216","zero"
"Mus musculus polyomavirus 3","Mus musculus polyomavirus 3","E","MF175082","zero"
"Myodes glareolus polyomavirus 1","Myodes glareolus polyomavirus 1","E","KR612368","NC_028117"
"Myotis lucifugus polyomavirus 1","Myotis polyomavirus","E","FJ188392","NC_011310"
"Pan troglodytes polyomavirus 8","Pan troglodytes verus polyomavirus 8","E","KT884050","NC_028635"
"Panthera leo polyomavirus 1","Panthera leo polyomavirus 1","E","MG701353","NC_040822"
"Papio cynocephalus polyomavirus 2","yellow baboon polyomavirus 2","E","AB767295","NC_025897"
"Pteronotus davyi polyomavirus 1","Pteronotus polyomavirus","E","JX520662","NC_020070"
"Pteronotus parnellii polyomavirus 1","bat polyomavirus 2b","E","JQ958891","NC_028121"
"Rattus norvegicus polyomavirus 2","rat polyomavirus 2","E","KX574453","zero"
"Rousettus aegyptiacus polyomavirus 1","Rousettus aegyptiacus polyomavirus 1","E","LC185218","NC_034219"
"Saimiri boliviensis polyomavirus 1","squirrel monkey polyomavirus","E","AM748741","NC_009951"
"Saimiri sciureus polyomavirus 1","Saimiri sciureus polyomavirus 1","E","JX159989","NC_038559"
"Sciurus carolinensis polyomavirus 1","Sciurus carolinensis polyomavirus 1","E","MK671101","zero"
"Vicugna pacos polyomavirus 1","alpaca polyomavirus","E","KU879245","NC_034251"
"Zalophus californianus polyomavirus 1","California sea lion polyomavirus 1","E","GQ331138","NC_013796"
"Ailuropoda melanoleuca polyomavirus 1","giant panda polyomavirus","E","KY612371","NC_035181"
"Canis lupus polyomavirus 1","Canis lupus polyomavirus 1","E","MG701355","zero"
"Human polyomavirus 6","human polyomavirus 6","E","HM011560","NC_014406"
"Human polyomavirus 7","human polyomavirus 7","E","HM011566","NC_014407"
"Human polyomavirus 10","MW polyomavirus","E","JQ898291","NC_018102"
"Human polyomavirus 11","STL polyomavirus","E","JX463183","NC_020106"
"Procyon lotor polyomavirus 2","raccoon-associated polyomavirus 2","E","KY549442","NC_034378"
"Bos taurus polyomavirus 1","bovine polyomavirus","E","D13942","NC_001442"
"Capra aegragus polyomavirus 1","Capra aegragus polyomavirus 1","E","MG654479","zero"
"Potamochoerus porcus polyomavirus 1","Potamochoerus porcus polyomavirus 1","E","MG654481","NC_040634"
"Anser anser polyomavirus 1","goose hemorrhagic polyomavirus","E","AY140894","NC_004800"
"Aves polyomavirus 1","budgerigar fledgling disease virus","E","AF241168","NC_004764"
"Corvus monedula polyomavirus 1","crow polyomavirus","E","DQ192570","NC_007922"
"Cracticus torquatus polyomavirus 1","butcherbird polyomavirus","E","KF360862","NC_023008"
"Erythrura gouldiae polyomavirus 1","Erythrura gouldiae polyomavirus 1","E","KT302407","NC_039052"
"Lonchura maja polyomavirus 1","Hungarian finch polyomavirus","E","KX756154","NC_039053"
"Pygoscelis adeliae polyomavirus 1","Adélie penguin polyomavirus","E","KP033140","NC_026141"
"Pyrrhula pyrrhula polyomavirus 1","finch polyomavirus","E","DQ192571","NC_007923"
"Serinus canaria polyomavirus 1","canary polyomavirus","E","GU345044","NC_017085"
"Delphinus delphis polyomavirus 1","dolphin polyomavirus 1","E","KC594077","NC_025899"
"Centropristis striata polyomavirus 1","black sea bass-associated polyomavirus 1","E","KP071318","NC_025790"
"Rhynchobatus djiddensis polyomavirus 1","giant guitarfish polyomavirus","E","KP264963","NC_026244"
"Sparus aurata polyomavirus 1","Sparus aurata polyomavirus 1","E","KX643371","NC_030838"
"Trematomus bernacchii polyomavirus 1","emerald notothen polyomavirus 1","E","MG800627","NC_040638"
"Trematomus pennellii polyomavirus 1","sharp-spined notothenia polyomavirus","E","KP768176","NC_026944"
"Alphapapillomavirus 1","human papillomavirus 32","E","X74475","NC_001586"
"Alphapapillomavirus 2","human papillomavirus 10","E","X74465","NC_001576"
"Alphapapillomavirus 3","human papillomavirus 61","E","U31793","NC_001694"
"Alphapapillomavirus 4","human papillomavirus 2","E","X55964","NC_001352"
"Alphapapillomavirus 5","human papillomavirus 26","E","X74472","NC_001583"
"Alphapapillomavirus 6","human papillomavirus 30","E","X74474","NC_038889"
"Alphapapillomavirus 7","human papillomavirus 18","E","X05015","NC_001357"
"Alphapapillomavirus 8","human papillomavirus 7","E","X74463","NC_001595"
"Alphapapillomavirus 9","human papillomavirus 16","E","K02718","NC_001526"
"Alphapapillomavirus 10","human papillomavirus 6","E","X00203","NC_001355"
"Alphapapillomavirus 11","human papillomavirus 34","E","X74476","NC_001587"
"Alphapapillomavirus 12","Macaca mulata papillomavirus 1","E","M60184","NC_001678"
"Alphapapillomavirus 13","human papillomavirus 54","E","U37488","NC_001676"
"Alphapapillomavirus 14","human papillomavirus 71","E","AB040456","NC_039089"
"Betapapillomavirus 1","human papillomavirus 5","E","M17463","NC_001531"
"Betapapillomavirus 2","human papillomavirus 9","E","X74464","NC_001596"
"Betapapillomavirus 3","human papillomavirus 49","E","X74480","NC_001591"
"Betapapillomavirus 4","human papillomavirus 92","E","AF531420","NC_004500"
"Betapapillomavirus 5","human papillomavirus 96","E","AY382779","NC_005134"
"Betapapillomavirus 6","Macaca fascicularis papillomavirus 2","E","GU014531","NC_015691"
"Chipapillomavirus 1","Canis familiaris papillomavirus 3","E","DQ295066","NC_008297"
"Chipapillomavirus 2","Canis familiaris papillomavirus 4","E","EF584537","NC_010226"
"Chipapillomavirus 3","Canis familiaris papillomavirus 8","E","HQ262536","NC_016014"
"Deltapapillomavirus 1","Alces alces papillomavirus 1","E","M15953","NC_001524"
"Deltapapillomavirus 2","Odocoileus virginianus papillomavirus 1","E","M11910","NC_001523"
"Deltapapillomavirus 3","Ovis aries papillomavirus 1","E","U83594","NC_001789"
"Deltapapillomavirus 4","Bos taurus papillomavirus 1","E","X02346","NC_001522"
"Deltapapillomavirus 5","Capreolus capreolus papillomavirus 1","E","EF680235","NC_011051"
"Deltapapillomavirus 6","Camelus dromedarius papillomavirus 1","E","HQ912790","NC_015267"
"Deltapapillomavirus 7","Giraffa camelopardalis papillomavirus 1","E","KX954132","NC_039036"
"Dyochipapillomavirus 1","Equus asinus papillomavirus","E","KF741371","NC_023882"
"Dyodeltapapillomavirus 1","Sus scrofa papillomavirus 1","E","EF395818","NC_011280"
"Dyoepsilonpapillomavirus 1","Francolinus leucoscepus papillomavirus 1","E","EU188799","NC_013117"
"Dyoetapapillomavirus 1","Erinaceus europaeus papillomavirus 1","E","FJ379293","NC_011765"
"Dyoiotapapillomavirus 1","Equus caballus papillomavirus 3","E","GU384895","NC_017862"
"Dyoiotapapillomavirus 2","Equus caballus papillomavirus 4","E","JQ031032","NC_020085"
"Dyokappapapillomavirus 1","Ovis aries papillomavirus 3","E","FJ796965","NC_038516"
"Dyokappapapillomavirus 2","Rupicapra rupicapra papillomavirus 1","E","KC876045","NC_023895"
"Dyokappapapillomavirus 3","Bos taurus papillomavirus 16","E","KU519391","NC_030796"
"Dyokappapapillomavirus 4","Bos taurus papillomavirus 18","E","KU519393","NC_030798"
"Dyokappapapillomavirus 5","Pudu puda papillomavirus 1","E","KT932713","NC_039037"
"Dyolambdapapillomavirus 1","Bettongia penicillata papillomavirus 1","E","GU220391","NC_014143"
"Dyomupapillomavirus 1","Morelia spilota papillomavirus 1","E","HQ262535","NC_016013"
"Dyonupapillomavirus 1","Zalophus californianus papillomavirus 1","E","HQ293213","NC_015325"
"Dyoomegapapillomavirus 1","Eptesicus serotinus papillomavirus 2","E","KC858264","NC_038517"
"Dyoomikronpapillomavirus 1","Saimiri sciureus papillomavirus 1","E","JF304765","NC_023496"
"Dyophipapillomavirus 1","Talpa europaea papillomavirus 1","E","KC460987","NC_039038"
"Dyopipapillomavirus 1","Phocoena phocoena papillomavirus","E","GU117623","NC_018076"
"Dyopsipapillomavirus 1","Eptesicus serotinus papillomavirus 1","E","KC858263","NC_038518"
"Dyorhopapillomavirus 1","Equus caballus papillomavirus 6","E","JQ965698","NC_020500"
"Dyosigmapapillomavirus 1","Castor canadensis papillomavirus 1","E","KC020689","NC_023178"
"Dyotaupapillomavirus 1","Miniopterus schreibersii papillomavirus 2","E","JQ692938","NC_038519"
"Dyothetapapillomavirus 1","Felis domesticus papillomavirus 2","E","EU796884","NC_038520"
"Dyoupsilonpapillomavirus 1","Eidolon helvum papillomavirus 1","E","JX123128","NC_038521"
"Dyoxipapillomavirus 1","Bos taurus papillomavirus 7","E","DQ217793","NC_007612"
"Dyoxipapillomavirus 2","Bos taurus papillomavirus 19","E","KU519394","NC_030799"
"Dyozetapapillomavirus 1","Caretta caretta papillomavirus 1","E","EU493092","NC_011530"
"Epsilonpapillomavirus 1","Bos taurus papillomavirus 5","E","AF457465","NC_004195"
"Epsilonpapillomavirus 2","Cervus elaphus papillomavirus 1","E","KU350625","NC_030151"
"Etapapillomavirus 1","Fringilla coelebs papillomavirus","E","AY057109","NC_004068"
"Gammapapillomavirus 1","human papillomavirus 4","E","X70827","NC_001457"
"Gammapapillomavirus 2","human papillomavirus 48","E","U31789","NC_001690"
"Gammapapillomavirus 3","human papillomavirus 50","E","U31790","NC_001691"
"Gammapapillomavirus 4","human papillomavirus 60","E","U31792","NC_001693"
"Gammapapillomavirus 5","human papillomavirus 88","E","EF467176","NC_010329"
"Gammapapillomavirus 6","human papillomavirus 101","E","DQ080081","NC_008189"
"Gammapapillomavirus 7","human papillomavirus 109","E","EU541441","NC_012485"
"Gammapapillomavirus 8","human papillomavirus 112","E","EU541442","NC_012486"
"Gammapapillomavirus 9","human papillomavirus 116","E","FJ804072","NC_013035"
"Gammapapillomavirus 10","human papillomavirus 121","E","GQ845443","NC_014185"
"Gammapapillomavirus 11","human papillomavirus 126","E","AB646346","NC_016157"
"Gammapapillomavirus 12","human papillomavirus 127","E","HM011570","NC_014469"
"Gammapapillomavirus 13","human papillomavirus 128","E","GU225708","NC_014952"
"Gammapapillomavirus 14","human papillomavirus 131","E","GU117631","NC_014954"
"Gammapapillomavirus 15","human papillomavirus 135","E","HM999987","NC_017993"
"Gammapapillomavirus 16","human papillomavirus 137","E","HM999989","NC_017995"
"Gammapapillomavirus 17","human papillomavirus 144","E","HM999996","NC_017997"
"Gammapapillomavirus 18","human papillomavirus 156","E","JX429973","NC_033781"
"Gammapapillomavirus 19","human papillomavirus 161","E","JX413109","NC_038522"
"Gammapapillomavirus 20","human papillomavirus 163","E","JX413107","NC_028125"
"Gammapapillomavirus 21","human papillomavirus 167","E","KC862318","NC_022892"
"Gammapapillomavirus 22","human papillomavirus 172","E","KF006399","NC_038523"
